1,1,1,4,0 
1,1,2,3,5
1,1,3,4,1
1,1,4,4,2
1,1,5,4,6
1,1,6,7,5
1,2,1,4,0 
1,2,2,3,5
1,2,3,4,1
1,2,4,4,2
1,2,5,4,6
1,2,6,7,5
2,1,1,4,0 
2,1,2,3,5
2,1,3,4,1
2,1,4,4,2
2,1,5,4,6
2,1,6,7,5
2,2,1,4,0 
2,2,2,3,5
2,2,3,4,1
2,2,4,4,2
2,2,5,4,6
2,2,6,7,5
3,1,1,4,0
3,1,2,3,5
3,1,3,7,5
3,1,4,1,4
3,1,5,5,7
3,1,6,2,4
3,1,7,3,5
3,1,8,4,0
3,1,9,5,3
3,1,10,7,5
3,1,11,4,2
3,2,1,7,6
3,2,2,4,1
3,2,3,4,0
3,2,4,5,3
3,2,5,7,5
3,2,6,5,7
3,2,7,2,4
3,2,8,7,5
3,3,1,4,2
3,3,2,2,4
3,3,3,4,2
3,3,4,1,4
3,3,5,5,7
3,3,6,2,4
3,3,7,3,5
3,3,8,2,4
4,1,1,4,0
4,1,2,2,4
4,1,3,4,0
4,1,4,2,4
4,1,5,3,5
4,1,6,2,4
4,1,7,4,0
4,1,8,7,6
4,1,9,4,1
4,1,10,4,0
4,1,11,5,3
4,3,1,7,5
4,3,2,4,2
4,3,3,4,0
4,3,4,5,3
4,3,5,7,5
4,3,6,7,6
5,1,1,4,0
5,1,2,3,5
5,1,3,7,5
5,1,4,1,4
5,1,5,5,7
5,1,6,2,4
5,1,7,3,5
5,1,8,4,0
5,1,9,5,3
5,1,10,7,5
5,1,11,4,2
5,2,1,7,6
5,2,2,4,1
5,2,3,4,0
5,2,4,5,3
5,2,5,7,5
5,2,6,5,7
5,2,7,2,4
5,2,8,7,5
5,3,1,4,2
5,3,2,2,4
5,3,3,4,2
5,3,4,1,4
5,3,5,5,7
5,3,6,2,4
5,3,7,3,5
5,3,8,2,4
6,1,1,4,0
6,1,2,3,5
6,1,3,7,5
6,1,4,1,4
6,1,5,5,7
6,1,6,2,4
6,1,7,3,5
6,1,8,4,0
6,1,9,5,3
6,1,10,7,5
6,1,11,4,2
6,2,1,7,6
6,2,2,4,1
6,2,3,4,0
6,2,4,5,3
6,2,5,7,5
6,2,6,5,7
6,2,7,2,4
6,2,8,7,5
6,3,1,4,2
6,3,2,2,4
6,3,3,4,2
6,3,4,1,4
6,3,5,5,7
6,3,6,2,4
6,3,7,3,5
6,3,8,2,4
12,1,1,4,0
12,1,2,3,5
12,1,3,7,5
12,1,4,1,4
12,1,5,5,7
12,1,6,2,4
12,1,7,3,5
12,1,8,4,0
12,1,9,5,3
12,1,10,7,5
12,1,11,4,2
12,2,1,7,6
12,2,2,4,1
12,2,3,4,0
12,2,4,5,3
12,2,5,7,5
12,2,6,5,7
12,2,7,2,4
12,2,8,7,5
12,3,1,4,2
12,3,2,2,4
12,3,3,4,2
12,3,4,1,4
12,3,5,5,7
12,3,6,2,4
12,3,7,3,5
12,3,8,2,4
13,1,1,5,3
13,1,2,4,0
13,1,3,4,0
13,1,4,4,0
13,1,5,4,0
13,1,6,4,0
13,2,1,2,4
13,2,2,4,0
13,2,3,4,0
13,2,4,4,0
13,2,5,4,0
13,2,6,4,0
13,2,7,4,0
14,1,1,4,0
14,1,2,4,2
14,1,3,4,1
14,1,4,4,1
14,1,5,4,0
14,1,6,4,0
14,2,1,4,0
14,2,2,4,0
14,2,3,4,1
14,2,4,4,0
14,2,5,4,0
14,2,6,4,0
14,3,1,4,1
14,3,2,4,2
14,3,3,4,0
14,3,4,4,0
14,3,5,4,1
14,3,6,4,0
